iter	Passed	Remaining
603	1168	766
604	1171	764
605	1175	764
606	1179	763
607	1181	761
608	1183	759
609	1185	757
610	1186	755
611	1188	753
612	1189	751
613	1194	750
614	1196	748
615	1198	746
616	1199	744
617	1201	742
618	1203	740
619	1204	738
620	1206	736
621	1210	735
622	1212	733
623	1213	731
624	1215	729
625	1217	727
626	1218	724
627	1220	722
628	1221	720
629	1224	719
630	1226	717
631	1228	715
632	1230	713
633	1231	711
634	1233	708
635	1234	706
636	1236	704
637	1238	702
638	1240	700
639	1242	698
640	1243	696
641	1245	694
642	1247	692
643	1248	690
644	1250	688
645	1251	685
646	1253	683
647	1255	682
648	1257	680
649	1258	677
650	1260	675
651	1262	673
652	1263	671
653	1265	669
654	1267	667
655	1268	665
656	1271	663
657	1272	661
658	1274	659
659	1276	657
660	1278	655
661	1279	653
662	1281	651
663	1282	649
664	1284	646
665	1287	645
666	1289	643
667	1291	641
668	1293	639
669	1294	637
670	1296	635
671	1297	633
672	1299	631
673	1302	629
674	1303	627
675	1305	625
676	1307	623
677	1309	621
678	1310	619
679	1312	617
680	1314	615
681	1315	613
682	1318	612
683	1320	610
684	1322	607
685	1323	605
686	1325	603
687	1327	601
688	1328	599
689	1330	597
690	1332	595
691	1334	594
692	1336	592
693	1338	590
694	1339	587
695	1341	585
696	1342	583
697	1344	581
698	1346	579
699	1348	577
700	1351	576
701	1353	574
702	1354	572
703	1356	570
704	1358	568
705	1359	566
706	1361	564
707	1362	562
708	1366	560
709	1369	559
710	1372	557
711	1376	556
712	1379	555
713	1383	554
714	1385	552
715	1386	550
716	1388	548
717	1390	546
718	1392	544
719	1393	542
720	1396	540
721	1398	538
722	1400	536
723	1402	534
724	1403	532
725	1405	530
726	1406	528
727	1408	526
728	1410	524
729	1412	522
730	1414	520
731	1416	518
732	1418	516
733	1419	514
734	1421	512
735	1423	510
736	1424	508
737	1426	506
738	1428	504
739	1430	502
740	1432	500
741	1434	498
742	1435	496
743	1437	494
744	1438	492
745	1440	490
746	1442	488
747	1446	487
748	1447	485
749	1449	483
750	1451	481
751	1452	479
752	1454	477
753	1456	475
754	1457	473
755	1460	471
756	1462	469
757	1464	467
758	1465	465
759	1467	463
760	1469	461
761	1470	459
762	1472	457
763	1474	455
764	1476	453
765	1478	451
766	1480	449
767	1482	447
768	1483	445
769	1485	443
770	1486	441
771	1488	439
772	1491	438
773	1493	436
774	1495	434
775	1497	432
776	1498	430
777	1500	428
778	1501	426
779	1503	424
780	1504	421
781	1508	420
782	1510	418
783	1512	416
784	1513	414
785	1515	412
786	1517	410
787	1518	408
788	1520	406
789	1523	405
790	1525	403
791	1527	401
792	1529	399
793	1530	397
794	1532	395
795	1533	393
796	1535	391
797	1539	389
798	1541	387
799	1543	385
800	1545	383
801	1546	381
802	1548	379
803	1549	377
804	1551	375
805	1554	374
806	1556	372
807	1559	370
808	1561	368
809	1564	367
810	1567	365
811	1572	363
812	1574	362
813	1579	360
814	1580	358
815	1582	356
816	1584	354
817	1587	353
818	1589	351
819	1590	349
820	1592	347
821	1594	345
822	1595	343
823	1597	341
824	1598	339
825	1600	337
826	1603	335
827	1604	333
828	1606	331
829	1608	329
830	1610	327
831	1611	325
832	1613	323
833	1614	321
834	1616	319
835	1618	317
836	1620	315
837	1621	313
838	1623	311
839	1625	309
840	1626	307
841	1628	305
842	1629	303
843	1631	301
844	1633	299
845	1635	297
846	1637	295
847	1638	293
848	1640	291
849	1642	289
850	1643	287
851	1645	285
852	1646	283
853	1649	282
854	1651	280
855	1653	278
856	1655	276
857	1656	274
858	1658	272
859	1660	270
860	1661	268
861	1663	266
862	1666	264
863	1667	262
864	1669	260
865	1671	258
866	1673	256
867	1674	254
868	1676	252
869	1677	250
870	1680	248
871	1682	246
872	1684	245
873	1685	243
874	1687	241
875	1689	239
876	1690	237
877	1692	235
878	1694	233
879	1697	231
880	1698	229
881	1700	227
882	1702	225
883	1704	223
884	1705	221
885	1707	219
886	1708	217
887	1710	215
888	1714	214
889	1717	212
890	1719	210
891	1720	208
892	1722	206
893	1723	204
894	1725	202
895	1727	200
896	1729	198
897	1731	196
898	1733	194
899	1735	192
900	1737	190
901	1738	188
902	1740	186
903	1741	184
904	1745	183
905	1747	181
906	1750	179
907	1754	177
908	1756	175
909	1759	174
910	1762	172
911	1764	170
912	1766	168
913	1767	166
914	1769	164
915	1771	162
916	1772	160
917	1775	158
918	1777	156
919	1779	154
920	1780	152
921	1782	150
922	1784	148
923	1785	146
924	1787	144
925	1789	142
926	1792	141
927	1793	139
928	1795	137
929	1797	135
930	1798	133
931	1800	131
932	1801	129
933	1803	127
934	1804	125
935	1806	123
936	1807	121
937	1809	119
938	1811	117
939	1812	115
940	1814	113
941	1815	111
942	1817	109
943	1818	107
944	1820	105
945	1822	104
946	1823	102
947	1825	100
948	1827	98
949	1828	96
950	1830	94
951	1831	92
952	1833	90
953	1834	88
954	1836	86
955	1837	84
956	1839	82
957	1841	80
958	1842	78
959	1844	76
960	1845	74
961	1847	72
962	1849	71
963	1850	69
964	1852	67
965	1853	65
966	1855	63
967	1857	61
968	1858	59
969	1860	57
970	1861	55
971	1863	53
972	1864	51
973	1866	49
974	1867	47
975	1869	45
976	1871	44
977	1872	42
978	1874	40
979	1875	38
980	1877	36
981	1878	34
982	1880	32
983	1881	30
984	1883	28
985	1885	26
986	1886	24
987	1888	22
988	1889	21
989	1891	19
990	1892	17
991	1894	15
992	1895	13
993	1897	11
994	1899	9
995	1901	7
996	1902	5
997	1904	3
998	1905	1
999	1907	0
