iter	RMSE
0	9.275609173
1	8.395154536
2	7.689729108
3	7.201559551
4	6.804155685
5	6.479767862
6	6.226148916
7	5.992896625
8	5.774834979
9	5.655533514
10	5.550497579
11	5.479198668
12	5.430243362
13	5.394723247
14	5.37308464
15	5.317373842
16	5.288087281
17	5.242777217
18	5.221852668
19	5.18988092
20	5.173038648
21	5.150991165
22	5.125051042
23	5.110251974
24	5.096466646
25	5.070169335
26	5.046072242
27	5.022575623
28	5.009539439
29	5.003821943
30	4.991030766
31	4.979109219
32	4.962507064
33	4.952434808
34	4.944792349
35	4.934719171
36	4.929933331
37	4.919957241
38	4.912699257
39	4.907553627
